职位,薪资,公司,公司信息,公司地址,地区,工作经验,学历,人数,时间,岗位信息
['大数据平台产品经理'],['2-4万/月'],['MobData大数据云平台'],['外资（欧美）| 150-500人| 计算机服务(系统、数据服务、维修) 互联网/电子商务'],['上班地址 : 宜山路711号游族大厦'],['上海-徐汇区'],['3-4年工作经验'],['大专'],['1人'],['2019-09-12'],工作职责：1.负责规划设计大数据计算及服务平台（包括离线计算、流计算、算法、数据治理、数据服务），并驱动产品落地2.推进以大数据为基础的机器学习、深度学习、推荐引擎等平台和框架产品化3.发起大数据基础平台客户和市场的需求分析，结合公司优势，针对特定领域制定产品短期和长期规划4.参与平台体系化建设需求调研、解决方案设计，跟进项目到产品最终上线所有流程5.在产品预研、开发、发布和迭代的过程中负责与各个关联团队之间的交流与合作，确保合作的畅通与高效任职要求1.3年以上大数据计算平台的规划设计经验，熟悉大数据平台产品研发过程，熟练掌握产品的设计工具，有较好的产品逻辑能力， 对大数据产品有浓厚的兴趣和意愿；2.熟悉主流开源各类大数据组件基本原理和应用场景，包括Hadoop、Hbase、Spark、Kafka、Elasticsearch等3.有面向企业大数据平台建设相关的产品经验；熟悉数据中台理念，熟悉数据治理，有研发背景优先；4.有很强的产品意识，能主动发起产品的改进和优化，有执行力；5.善于团队合作，心态开放，乐于分享
['资深大数据运维工程师'],['2.5-3万/月'],['游族网络'],['上市公司| 1000-5000人| 网络游戏 互联网/电子商务'],['上班地址 : 宜山路711号游族大厦'],['上海-徐汇区'],['5-7年工作经验'],['本科'],['1人'],['2019-09-12'],工作内容：1、负责分布式大数据平台产品的运维和运维开发，保证其高可用和稳定性；2、负责大数据系统架构的可运维性设计、容量规划、服务监控，持续优化服务架构、集群性能；3、通过技术手段控制和优化成本，通过自动化工具及流程提升大数据平台运维效率；4、为项目开发人员提供大数据技术指导及解决大数据平台应用中遇到的技术难题；任职资格：1、三年以上大数据运维相关工作经验，有大型互联网公司工作经验者优先，全日制本科及以上学历；2、熟练掌握至少一门开发语言，有Java或Python语言开发经验优先；3、精通Hadoop生态及高性能缓存相关的各种工具并有实战经验，包括但不限于Hadoop、HBase、Hive、Presto、Kafka、Spark、Yarn、Flink、Logstash、Flume、ClickHouse等；4、熟悉Mysql等常用关系数据库，熟练编写SQL语句，有分布式nosql数据库应用、性能调优经验优先；5、熟悉Linux环境，能够熟悉使用shell脚本；6、对大数据技术有强烈兴趣，有志于往大数据方向深层次发展；7、具有很强的责任心、执行力、服务意识、学习能力和抗压能力；8、具备较好的沟通能力、主动性及责任感。
['大数据开发工程师（证券、基金方向）'],['1-2万/月'],['上海罗盘信息科技有限公司'],['民营公司| 150-500人| 计算机软件 计算机服务(系统、数据服务、维修)'],['上班地址 : 福华一路六号免税商务大厦22楼'],['深圳-福田区'],['3-4年工作经验'],['大专'],['1人'],['2019-09-12'],
['大数据（BI）开发工程师'],['1-1.5万/月'],['索菲亚家居股份有限公司'],['上市公司| 10000人以上| 家居/室内设计/装潢 家具/家电/玩具/礼品'],['上班地址 : 新塘镇永宁街仙宁路3号索菲亚大厦'],['广州-增城'],[],[],['2人'],['2019-09-12'],
['高级大数据工程师（java方向)'],['1.8-2.5万/月'],['i-Shanghai'],['民营公司| 150-500人| 互联网/电子商务'],['上班地址 : 上海市徐汇区肇家浜路789号均瑶国际广场'],['上海-徐汇区'],['5-7年工作经验'],['大专'],['1人'],['2019-09-12'],
['大数据算法工程师'],['1-1.5万/月'],['深圳华策辉弘科技有限公司'],['外资（非欧美）| 50-150人| 计算机软件'],['上班地址 : 金田路3038号现代国际商务大厦32层3210室'],['深圳-福田区'],['3-4年工作经验'],['本科'],['1人'],['2019-09-12'],
['大数据开发工程师'],['1-1.5万/月'],['深圳科蓝金信科技发展有限公司'],['合资| 1000-5000人| 互联网/电子商务 计算机软件'],['上班地址 : 成都市武侯区领事馆路7号保利中心南塔607'],['成都-武侯区'],['3-4年工作经验'],['本科'],['1人'],['2019-09-12'],
['大数据产品运营经理'],['1-1.5万/月'],['广州众法网科技有限公司'],['民营公司| 150-500人| 专业服务(咨询、人力资源、财会)'],['上班地址 : 越秀区下塘西路5号'],['广州-越秀区'],['3-4年工作经验'],['大专'],['1人'],['2019-09-12'],
['大数据开发工程师'],['5-7千/月'],['珠海市连盛电子科技有限公司'],['民营公司| 150-500人| 互联网/电子商务 办公用品及设备'],['上班地址 : 广东省珠海市金湾区联港工业区创业西路3号'],['珠海'],['1年工作经验'],['大专'],['1人'],['2019-09-12'],
['Java开发工程师（大数据）'],['20-30万/年'],['上海丙晟科技有限公司'],['民营公司| 150-500人| 互联网/电子商务'],['上班地址 : 大宁中心广场三期宁汇广场A5栋'],['上海-静安区'],['3-4年工作经验'],['本科'],['4人'],['2019-09-12'],
